Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
73,Jalen Brunson\brunsja01,PG,23,DAL,55,1002,15.3,.555,.312,.194,2.3,11.4,7.0,26.8,1.0,0.3,13.6,20.5,,1.7,0.6,2.2,.108,,0.1,-2.1,-2.0,0.0
74,Thomas Bryant\bryanth01,C,22,WAS,29,738,19.6,.643,.171,.292,8.4,23.7,15.8,12.8,0.6,3.0,12.4,18.6,,1.8,0.3,2.2,.141,,1.2,-0.2,1.0,0.6
75,Reggie Bullock\bullore01,SG,28,NYK,21,545,10.0,.499,.500,.075,2.2,8.1,5.0,8.5,2.1,0.0,5.9,17.1,,0.2,0.3,0.5,.042,,-0.9,-1.7,-2.5,-0.1
76,Trey Burke\burketr01,PG,27,PHI,25,329,15.4,.545,.299,.142,5.0,6.6,5.8,24.2,1.0,0.3,8.2,19.3,,0.6,0.3,0.9,.134,,0.5,-2.7,-2.2,0.0
77,Alec Burks\burksal01,SG,28,TOT,49,1404,16.1,.551,.374,.370,2.7,15.0,8.6,17.6,1.7,1.1,9.7,23.7,,1.7,0.9,2.5,.087,,0.4,-1.4,-1.0,0.4
77,Alec Burks\burksal01,SG,28,GSW,48,1390,16.2,.552,.373,.373,2.8,15.2,8.7,17.6,1.7,1.1,9.8,23.8,,1.7,0.9,2.6,.089,,0.5,-1.3,-0.8,0.4
77,Alec Burks\burksal01,SG,28,PHI,1,14,0.4,.250,.500,.000,0.0,0.0,0.0,18.5,0.0,0.0,0.0,12.3,,0.0,0.0,0.0,-0.057,,-8.3,-7.4,-15.7,0.0
78,Deonte Burton\burtode02,SG,26,OKC,30,254,5.8,.412,.419,.129,2.3,14.3,8.5,5.6,0.8,3.0,8.4,18.6,,-0.5,0.3,-0.2,-0.039,,-6.2,-0.9,-7.2,-0.3
79,Jimmy Butler\butleji01,SF,30,MIA,46,1582,24.0,.587,.182,.678,6.3,15.5,11.1,28.1,2.5,1.6,11.5,25.5,,5.3,2.2,7.5,.228,,3.6,1.7,5.3,2.9
80,Bruno Caboclo\cabocbr01,SF,24,MEM,22,192,11.9,.441,.362,.043,9.5,14.6,12.1,7.0,2.4,5.3,9.1,16.8,,-0.1,0.3,0.2,.047,,-3.2,2.2,-1.1,0.0
81,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,53,1343,12.0,.601,.478,.217,2.9,6.1,4.5,9.0,1.5,0.7,9.7,14.6,,2.0,1.3,3.3,.119,,0.7,-0.6,0.1,0.7
82,Vlatko Čančar\cancavl01,SF,22,DEN,11,38,13.0,.588,.455,.364,8.7,14.6,11.6,10.9,1.3,2.4,19.0,18.0,,0.0,0.0,0.1,.107,,-1.4,-0.4,-1.8,0.0
83,Clint Capela\capelca01,C,25,HOU,39,1279,20.7,.626,.000,.268,13.6,30.3,21.9,5.7,1.2,4.8,12.7,16.0,,2.9,2.1,5.0,.186,,-1.0,2.4,1.4,1.1
84,DeMarre Carroll\carrode01,SF,33,SAS,15,135,5.0,.437,.448,.690,5.6,19.0,12.3,10.2,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.036,,-5.1,-1.2,-6.2,-0.1
85,Jevon Carter\carteje01,PG,24,PHO,40,578,10.6,.541,.546,.105,3.9,10.7,7.3,12.9,2.5,1.6,15.0,13.8,,0.2,0.6,0.8,.068,,-1.4,0.8,-0.6,0.2
86,Vince Carter\cartevi01,SF,43,ATL,49,749,7.8,.473,.669,.112,2.0,13.5,7.7,8.3,1.2,2.7,9.9,16.8,,-0.5,0.3,-0.1,-0.009,,-3.4,-1.3,-4.7,-0.5
87,Wendell Carter\cartewe01,C,20,CHI,37,1109,16.1,.592,.091,.417,12.3,24.3,18.0,6.0,1.3,2.8,14.5,16.5,,1.7,1.5,3.1,.136,,-1.6,1.4,-0.3,0.5
88,Michael Carter-Williams\cartemi01,SG,28,ORL,32,566,15.4,.504,.260,.350,5.4,13.9,9.5,23.1,3.0,2.5,14.3,18.3,,0.3,0.9,1.3,.108,,-1.5,2.3,0.8,0.4
89,Alex Caruso\carusal01,PG,25,LAL,50,908,10.6,.540,.420,.290,1.4,9.8,5.7,12.1,2.7,1.4,14.0,13.7,,0.5,1.3,1.8,.097,,-1.6,1.3,-0.4,0.4
90,Willie Cauley-Stein\caulewi01,C,26,TOT,50,1051,16.9,.585,.003,.216,7.9,22.7,15.1,10.0,2.2,4.9,10.9,14.5,,1.4,1.4,2.8,.128,,-2.0,3.3,1.3,0.9
